Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Migration_Start_Month,Migration_End_Month,Rest_Stops,Migrated_in_Flock,Flock_Size,Migration_Interrupted,Interrupted_Reason,Migration_Success,Observation_Counts,Origin
B1026,stork,north america,Grassland,Foggy,Climate Change,-69.59858675733261,-127.42086131783137,0.0162760710800569,-69.42288303010568,2811.67,56.0,41.55,6392,302,7.3,53.9,Apr,Jun,13,No,369,Yes,,Successful,85,"-69.59858675733261, -127.42086131783137"
B1027,goose,north america,Coastal,Rainy,Climate Change,-62.34375510209898,51.909813226015785,-21.552384016730517,41.18983297165727,1707.03,45.8,51.63,8954,877,8.4,7.7,Apr,Oct,6,Yes,258,No,Lost Signal,Successful,59,"-62.34375510209898, 51.909813226015785"
B1028,eagle,south america,Forest,Rainy,Feeding,88.17887047847998,22.43419187221619,33.49175278334384,137.76381362500445,2514.63,41.6,53.13,1260,842,14.5,2.5,Sep,Mar,5,Yes,313,Yes,Lost Signal,Failed,16,"88.17887047847998, 22.43419187221619"
B1029,hawk,europe,Wetland,Foggy,Climate Change,-27.99089696463796,-108.96029512509456,-82.65893760790047,-4.2357145746154,3381.04,41.4,48.54,9118,800,9.6,55.1,Mar,Mar,3,No,173,Yes,,Failed,63,"-27.99089696463796, -108.96029512509456"
B1030,stork,north america,Mountain,Rainy,Breeding,-37.44479274456849,-92.35267410229864,22.49018498447037,-110.77484042546646,2069.98,50.8,50.81,2401,198,16.6,12.9,Nov,Apr,2,No,19,Yes,Injury,Failed,46,"-37.44479274456849, -92.35267410229864"
B1031,swallow,asia,Urban,Foggy,Climate Change,-80.59200558043877,-56.1304073075551,48.95209324333192,139.00424433117365,2350.51,59.6,52.49,3614,881,31.3,44.5,Oct,May,4,No,295,No,Injury,Failed,64,"-80.59200558043877, -56.1304073075551"
B1032,swallow,europe,Forest,Stormy,Climate Change,24.357670323407376,77.90929665966331,-87.69993360590452,-50.91136191660473,2105.61,47.0,49.82,4950,838,6.3,39.7,Jan,Apr,3,Yes,335,Yes,Lost Signal,Successful,95,"24.357670323407376, 77.90929665966331"
B1033,crane,australia,Wetland,Windy,Feeding,27.394341323630528,39.49797695878834,44.99340204096183,82.89103512495603,2164.56,42.4,48.5,8646,190,22.0,43.5,Mar,Dec,5,No,2,Yes,,Successful,53,"27.394341323630528, 39.49797695878834"
B1034,crane,europe,Coastal,Rainy,Feeding,-58.41923587584036,-154.95434489689566,-66.56327509047236,-64.76555572948674,2655.19,42.6,48.41,8523,504,29.3,37.1,Oct,Mar,6,Yes,223,Yes,Lost Signal,Successful,87,"-58.41923587584036, -154.95434489689566"
B1035,warbler,asia,Grassland,Foggy,Climate Change,75.46347736643037,93.57809364444984,35.65010078513302,-72.64244064568442,3306.63,66.2,53.04,1624,410,-6.3,17.2,May,Mar,9,No,118,Yes,,Failed,54,"75.46347736643037, 93.57809364444984"
B1036,goose,africa,Wetland,Clear,Feeding,54.088838387122905,-85.44255731206937,-8.05025225237263,51.13017335295214,2482.46,49.5,52.6,5163,696,15.1,35.6,Sep,Nov,13,Yes,195,No,Predator,Failed,23,"54.088838387122905, -85.44255731206937"
B1037,stork,asia,Mountain,Rainy,Avoid Predators,-48.54252297464855,61.83348422559126,9.358435136118048,-123.7278833258516,3096.37,22.6,54.9,5138,823,-4.7,31.9,May,May,2,Yes,103,No,Lost Signal,Failed,46,"-48.54252297464855, 61.83348422559126"
B1038,stork,asia,Urban,Rainy,Avoid Predators,-2.547048435023271,-135.58937592184185,-29.27749492245369,132.11059350524994,2137.23,46.1,51.41,4938,658,25.4,18.4,Mar,Jun,7,Yes,128,No,Storm,Successful,74,"-2.547048435023271, -135.58937592184185"
B1039,warbler,africa,Mountain,Foggy,Avoid Predators,-7.489645884207022,179.25165961890053,-45.8160468610648,-40.45536481469304,3054.22,35.7,54.02,9444,708,6.7,20.9,Mar,May,3,Yes,477,Yes,Lost Signal,Successful,7,"-7.489645884207022, 179.25165961890053"
B1040,eagle,africa,Wetland,Clear,Climate Change,-27.26632001838226,-151.0793385524229,-77.21147554967715,-173.06012305133984,3331.38,43.8,57.34,9229,113,13.0,38.8,Nov,Jun,7,No,483,Yes,Storm,Failed,11,"-27.26632001838226, -151.0793385524229"
B1041,eagle,africa,Forest,Clear,Breeding,57.17424830861037,87.02425022435824,65.64419774661718,-70.04286950019575,3109.23,38.2,43.18,6882,163,14.0,50.1,Feb,May,11,Yes,214,No,,Failed,58,"57.17424830861037, 87.02425022435824"
B1042,warbler,africa,Urban,Stormy,Breeding,-70.33239258819282,14.878929331114335,19.87725881442276,102.5878768558207,2864.82,69.1,51.79,4604,138,16.3,35.7,Feb,Mar,3,Yes,491,Yes,Predator,Successful,76,"-70.33239258819282, 14.878929331114335"
B1043,eagle,africa,Urban,Rainy,Feeding,-15.243436830997313,-149.0618911377102,86.90384867776513,129.3691879205229,2815.85,53.2,51.62,9119,199,34.1,26.3,Oct,May,14,Yes,69,No,Lost Signal,Failed,12,"-15.243436830997313, -149.0618911377102"
B1044,crane,asia,Wetland,Windy,Breeding,-12.954396501140934,-170.34823528172802,63.08134207288498,24.436899701416,2120.68,60.7,45.92,9819,223,13.0,7.4,May,Mar,9,Yes,222,No,Injury,Failed,56,"-12.954396501140934, -170.34823528172802"
B1045,stork,south america,Coastal,Rainy,Breeding,-5.629391169447658,-49.44034169399569,66.5339880994467,-74.12064550468395,1762.44,68.9,53.72,8402,540,23.8,1.1,Oct,Dec,10,No,288,Yes,Injury,Failed,59,"-5.629391169447658, -49.44034169399569"
B1046,warbler,south america,Coastal,Windy,Climate Change,65.04299839775317,108.80061552257185,17.612942522881156,10.02747732898132,2832.45,52.9,49.12,5796,496,33.9,5.3,Nov,Mar,14,No,312,No,Predator,Successful,18,"65.04299839775317, 108.80061552257185"
B1047,stork,north america,Mountain,Windy,Feeding,-50.72996336372977,-165.1855534986987,-75.43031319611195,121.09510750740844,2107.14,75.5,49.03,2516,569,24.4,4.1,Mar,Jun,5,Yes,294,No,,Successful,65,"-50.72996336372977, -165.1855534986987"
B1048,swallow,south america,Wetland,Foggy,Breeding,-71.4738287677909,73.58351879809948,74.41132717185775,-66.226381297829,2146.55,34.7,41.33,4491,711,27.5,9.9,Apr,Dec,5,Yes,222,No,Predator,Successful,63,"-71.4738287677909, 73.58351879809948"
B1049,crane,australia,Urban,Rainy,Avoid Predators,21.20552330779944,55.93545945512591,-68.7804778531374,-41.24268950544365,1756.42,64.1,50.04,9777,897,-8.0,54.2,Feb,May,11,No,496,No,Predator,Failed,54,"21.20552330779944, 55.93545945512591"
B1050,hawk,south america,Wetland,Foggy,Feeding,-58.70979450395152,-84.40643636180381,3.086281684542428,14.289887876415946,2212.82,52.0,50.61,6180,709,-1.5,9.0,Nov,Dec,10,No,94,Yes,Predator,Failed,86,"-58.70979450395152, -84.40643636180381"
B1051,crane,asia,Urban,Stormy,Feeding,-76.51222454616844,-152.1028671354395,64.23403286009594,139.3697504414381,3043.22,58.7,55.18,3991,107,20.5,11.6,Apr,Apr,14,Yes,20,No,Injury,Failed,94,"-76.51222454616844, -152.1028671354395"
B1052,warbler,africa,Mountain,Windy,Feeding,-13.203140297210368,149.5159057994623,-4.966557421802236,29.573616179327416,2978.13,48.6,55.32,4139,112,30.6,36.8,Feb,Mar,1,Yes,390,Yes,Lost Signal,Failed,50,"-13.203140297210368, 149.5159057994623"
B1053,hawk,africa,Forest,Clear,Avoid Predators,-50.46364244553463,-71.87407101477937,-60.17933625163506,-105.25854406080484,1840.59,56.5,49.29,6750,263,-7.2,32.3,Mar,Mar,7,Yes,421,No,Predator,Successful,47,"-50.46364244553463, -71.87407101477937"
B1054,swallow,asia,Forest,Windy,Breeding,-24.981008603762945,-139.902036556766,-22.824567232756124,-147.9225463266924,2016.67,54.2,53.08,5971,672,26.4,50.2,Oct,Mar,10,Yes,66,Yes,,Failed,30,"-24.981008603762945, -139.902036556766"
B1055,warbler,australia,Wetland,Stormy,Avoid Predators,-43.25200558155765,65.34614820992977,87.90972483777878,-145.7949755059683,1599.86,49.0,54.97,9638,283,-1.6,13.8,Oct,Nov,13,No,120,No,,Successful,74,"-43.25200558155765, 65.34614820992977"
B1056,goose,south america,Urban,Windy,Feeding,-73.32543670978517,-101.99475763501393,89.95665356842372,162.08984656319302,2682.61,51.4,47.4,1304,460,10.0,29.0,Oct,Apr,8,No,345,No,Predator,Successful,6,"-73.32543670978517, -101.99475763501393"
B1057,stork,asia,Forest,Foggy,Feeding,10.86249652635628,-8.772927997453223,37.95029820859365,116.0684911121595,2593.64,67.6,46.22,5582,893,28.0,6.5,Mar,Apr,8,Yes,308,No,Injury,Successful,72,"10.86249652635628, -8.772927997453223"
B1058,swallow,north america,Urban,Rainy,Climate Change,-85.13668475289258,-161.85400407502812,69.838615683802,95.7076884452124,2636.36,42.7,46.42,3540,364,-2.3,35.2,Jan,Nov,2,Yes,213,Yes,Lost Signal,Successful,81,"-85.13668475289258, -161.85400407502812"
B1059,stork,africa,Mountain,Clear,Climate Change,83.94756263899191,177.47422160691775,-82.04278893037548,-1.3087514987832094,2278.32,65.4,50.99,1096,826,19.5,36.1,Sep,May,2,Yes,433,No,,Successful,73,"83.94756263899191, 177.47422160691775"
B1060,eagle,europe,Wetland,Foggy,Climate Change,-28.560506087706077,-18.856394360822748,-40.32511650315158,62.11426221993145,2828.61,42.5,47.46,3789,242,27.3,50.9,Sep,Dec,1,Yes,365,Yes,Injury,Successful,81,"-28.560506087706077, -18.856394360822748"
B1061,goose,north america,Urban,Rainy,Climate Change,35.12835188816469,179.67959327143234,-23.58728111271021,-134.16109036470937,2354.7,56.7,47.31,4525,356,18.2,19.8,Apr,Apr,14,No,413,No,,Successful,59,"35.12835188816469, 179.67959327143234"
B1062,goose,australia,Wetland,Clear,Feeding,55.86531705854097,-41.157044303736114,-87.84042345572726,43.52245764478073,2978.71,49.5,44.1,6176,566,-8.7,17.9,Jan,Mar,13,Yes,334,Yes,Lost Signal,Successful,92,"55.86531705854097, -41.157044303736114"
B1063,swallow,north america,Urban,Stormy,Avoid Predators,-39.76113680288008,-54.773079860801005,-22.146919992549243,111.88106372836064,1952.34,56.3,56.55,2417,868,19.5,57.1,May,Oct,6,Yes,257,No,Storm,Successful,57,"-39.76113680288008, -54.773079860801005"
B1064,goose,asia,Coastal,Windy,Climate Change,44.77296763981229,149.24603817614644,-73.25431468930796,-157.63005351494937,2934.92,53.0,50.55,4791,545,-1.8,27.0,Jan,Oct,1,No,148,Yes,Predator,Failed,87,"44.77296763981229, 149.24603817614644"
B1065,hawk,south america,Coastal,Clear,Avoid Predators,59.83575397644773,-61.39229261598428,3.1336743628092307,-73.38584796866019,2716.45,55.2,45.54,1378,200,-1.9,17.4,Jan,Nov,6,No,381,Yes,Injury,Failed,99,"59.83575397644773, -61.39229261598428"
B1066,goose,africa,Urban,Stormy,Climate Change,-46.562897913909566,-24.47800296614253,-89.20452439819259,-140.2996775893458,2829.99,56.4,56.74,2440,489,7.6,36.4,May,Jun,1,Yes,25,No,Injury,Failed,36,"-46.562897913909566, -24.47800296614253"
B1067,stork,australia,Mountain,Rainy,Breeding,88.6490418412931,-151.88024278290328,-41.31902005791272,-86.31826701549937,2337.59,51.9,53.71,9708,356,24.8,8.6,May,Dec,1,No,65,No,Lost Signal,Successful,74,"88.6490418412931, -151.88024278290328"
B1068,stork,australia,Wetland,Clear,Climate Change,-86.27603708842392,163.96645969277125,65.93101247415805,98.10859388421784,3377.07,62.5,41.21,4811,473,-5.6,23.2,Apr,Jun,5,Yes,463,No,Storm,Successful,63,"-86.27603708842392, 163.96645969277125"
B1069,warbler,europe,Grassland,Stormy,Avoid Predators,-50.93991355760261,-149.3455532936752,-51.64955029435238,-60.462300136329645,2142.57,55.2,49.9,9481,246,11.9,27.5,Apr,Oct,6,No,17,No,Lost Signal,Failed,22,"-50.93991355760261, -149.3455532936752"
B1070,stork,north america,Urban,Rainy,Climate Change,50.40373612985872,97.62657607271672,-78.32818266318932,68.28618523966264,3640.52,67.5,54.8,5686,441,30.0,53.0,Nov,May,6,Yes,1,Yes,,Successful,70,"50.40373612985872, 97.62657607271672"
B1071,warbler,europe,Urban,Foggy,Breeding,-55.056415489964486,13.901541772023704,-45.04845879909811,98.38890754016938,2723.42,47.8,43.39,3884,555,11.7,43.6,Oct,Nov,8,Yes,175,Yes,Lost Signal,Failed,4,"-55.056415489964486, 13.901541772023704"
B1072,stork,south america,Coastal,Windy,Avoid Predators,35.68677539511717,-157.8941481428875,58.96056708062761,113.98992864205206,3072.87,42.7,44.15,6470,613,4.0,23.5,Sep,May,8,Yes,235,Yes,Storm,Failed,15,"35.68677539511717, -157.8941481428875"
B1073,hawk,south america,Forest,Stormy,Avoid Predators,63.99547289692265,-179.38662190521978,15.693725429015627,134.41515962700691,3227.46,54.6,48.74,2876,178,2.5,27.9,Apr,Nov,12,Yes,285,No,Storm,Failed,2,"63.99547289692265, -179.38662190521978"
B1074,warbler,europe,Coastal,Foggy,Avoid Predators,82.65856907416682,156.79930986976655,15.493386480757335,35.14889232694918,2889.6,35.7,53.82,1140,137,34.5,56.5,Oct,May,3,No,228,No,,Successful,86,"82.65856907416682, 156.79930986976655"
B1075,crane,africa,Wetland,Rainy,Feeding,-4.635447227951488,87.1824255247958,-89.8966778998496,-78.96966048013518,3438.06,60.9,55.93,4342,549,-5.1,50.2,May,Apr,1,No,142,No,Storm,Failed,50,"-4.635447227951488, 87.1824255247958"
B1076,eagle,south america,Coastal,Clear,Avoid Predators,84.79964213678113,67.11704767418937,-5.012781502389998,-125.79892849599,2973.59,46.5,49.37,6457,485,8.5,7.0,Feb,May,14,Yes,207,Yes,Storm,Successful,54,"84.79964213678113, 67.11704767418937"
B1077,swallow,europe,Grassland,Windy,Feeding,-15.90798659729785,-22.119648984280104,-42.18875285377752,1.335115516777904,2866.99,59.2,45.49,6830,372,23.7,21.5,Feb,Dec,7,No,111,Yes,Storm,Failed,24,"-15.90798659729785, -22.119648984280104"
B1078,stork,north america,Mountain,Rainy,Breeding,-50.73695285861056,-94.09903678404812,-29.482377801048905,-142.71939666423228,2735.5,53.6,49.56,5638,443,3.8,27.8,May,Mar,6,No,23,No,,Failed,48,"-50.73695285861056, -94.09903678404812"
B1079,goose,europe,Grassland,Stormy,Avoid Predators,2.50593355525055,64.75070690300663,17.76359478026184,147.8606324334125,2691.82,49.6,44.2,6186,701,28.0,12.1,Mar,Dec,12,No,251,Yes,,Successful,11,"2.50593355525055, 64.75070690300663"
B1080,stork,europe,Mountain,Windy,Avoid Predators,26.968183976068676,38.98838470215571,67.38115952256385,-20.70711434052941,3059.93,53.3,51.64,7370,321,17.7,7.7,Feb,May,13,Yes,294,No,Storm,Failed,4,"26.968183976068676, 38.98838470215571"
B1081,goose,asia,Grassland,Foggy,Avoid Predators,-7.566603111010124,81.48319014540112,-57.30175694918203,134.27429245581203,2081.72,35.7,46.44,3204,817,10.7,19.1,Mar,Dec,2,No,117,No,Storm,Failed,96,"-7.566603111010124, 81.48319014540112"
B1082,eagle,south america,Coastal,Windy,Breeding,12.055039914022489,-48.31469333990566,48.27996426033849,75.33733811002688,2424.41,45.9,42.26,3341,278,31.6,39.7,Sep,Apr,13,Yes,104,Yes,Lost Signal,Successful,60,"12.055039914022489, -48.31469333990566"
B1083,eagle,africa,Grassland,Foggy,Feeding,-15.046346209106048,175.29255378474852,-81.19760806108127,128.59832261946764,2754.76,58.0,52.7,3894,482,6.9,57.5,Nov,Mar,6,No,57,Yes,Injury,Successful,85,"-15.046346209106048, 175.29255378474852"
B1084,eagle,africa,Coastal,Rainy,Climate Change,4.457151723824964,-155.87688404572816,-31.18875013573029,138.22491213164352,2137.36,36.7,45.91,9257,589,33.5,58.5,Apr,Nov,6,No,347,Yes,,Failed,70,"4.457151723824964, -155.87688404572816"
B1085,goose,asia,Coastal,Clear,Breeding,81.46722095038109,-151.30741786696294,-50.59571585762674,-160.81434057154158,2982.8,55.9,43.34,1110,633,-6.7,52.5,Nov,Nov,7,No,25,Yes,Storm,Successful,40,"81.46722095038109, -151.30741786696294"
B1086,stork,australia,Wetland,Windy,Breeding,-0.0303925434602376,150.0753051290214,74.80511706113194,81.09282522029895,2394.53,58.6,51.63,5494,566,-8.2,42.6,Feb,Oct,9,No,234,Yes,Lost Signal,Failed,66,"-0.0303925434602376, 150.0753051290214"
B1087,eagle,africa,Coastal,Clear,Breeding,-44.42766609433316,53.174316570855694,-57.9603768541471,-98.44282928978188,1861.28,43.5,43.15,3959,675,-6.3,4.5,May,Oct,9,Yes,460,Yes,Injury,Successful,81,"-44.42766609433316, 53.174316570855694"
B1088,hawk,europe,Forest,Clear,Feeding,46.57439187226271,-62.51973545444241,14.15374526358208,176.14688602028042,2197.56,63.3,43.82,4798,844,-6.2,1.0,Nov,Oct,9,No,23,Yes,Predator,Successful,96,"46.57439187226271, -62.51973545444241"
B1089,warbler,asia,Grassland,Windy,Feeding,-29.23479759932112,94.30299277222542,-60.33903016405682,100.22507068534776,2980.66,58.1,44.7,5710,590,0.4,1.4,Sep,Oct,9,Yes,36,Yes,,Successful,76,"-29.23479759932112, 94.30299277222542"
B1090,goose,north america,Urban,Windy,Feeding,56.91729074785033,-17.001580372905636,-4.772931250197601,-178.6445989908394,1978.84,63.8,55.92,4387,413,8.3,6.0,Sep,Jun,2,No,306,No,,Successful,72,"56.91729074785033, -17.001580372905636"
B1091,goose,south america,Urban,Clear,Feeding,-79.76844198290067,-172.39625682921644,-15.588017754285444,153.8698758487932,2019.31,53.7,48.4,6941,381,26.5,27.8,Feb,Oct,8,No,274,Yes,Predator,Successful,67,"-79.76844198290067, -172.39625682921644"
B1092,stork,south america,Urban,Stormy,Feeding,-30.207964120435555,54.39732099118464,-82.55570539790739,-74.76987520757623,2759.55,45.9,52.3,3092,262,7.6,1.1,Feb,Oct,9,No,402,No,Storm,Failed,16,"-30.207964120435555, 54.39732099118464"
B1093,goose,south america,Forest,Stormy,Avoid Predators,-73.01521651308491,-92.47970264705177,58.65616686610872,-30.00470413087811,1841.55,61.7,54.73,7741,101,-4.3,21.3,Sep,Apr,4,Yes,55,No,Predator,Failed,52,"-73.01521651308491, -92.47970264705177"
B1094,goose,europe,Coastal,Windy,Climate Change,-74.64279163575034,-138.4793580203756,50.42028872099587,40.42280841403223,2783.38,50.1,48.63,3819,393,-8.6,57.1,Jan,Dec,1,No,319,No,Predator,Successful,28,"-74.64279163575034, -138.4793580203756"
B1095,eagle,north america,Grassland,Clear,Climate Change,28.510120651038704,-98.90165430021447,-39.98549302779507,149.87152585591866,1470.24,59.4,50.22,8459,679,15.1,33.7,Mar,May,5,No,207,Yes,Injury,Failed,69,"28.510120651038704, -98.90165430021447"
B1096,stork,asia,Mountain,Clear,Feeding,-20.63973575635066,-8.583162793470535,20.51912464127156,153.83758437146184,2737.52,45.5,52.91,8251,655,0.4,36.3,Sep,May,10,No,372,No,Lost Signal,Failed,44,"-20.63973575635066, -8.583162793470535"
B1097,eagle,asia,Mountain,Rainy,Feeding,66.86620955732025,-162.05168473803352,-24.71947544145989,22.849834583066094,2453.38,44.6,50.42,2162,661,6.2,29.4,Sep,Apr,1,Yes,328,No,Predator,Failed,44,"66.86620955732025, -162.05168473803352"
B1098,warbler,south america,Wetland,Clear,Avoid Predators,2.9529248172352425,137.93485924063714,48.46088579039187,-65.97918150787855,3317.11,42.6,48.98,2664,695,0.9,58.9,Feb,Nov,13,No,217,No,Predator,Successful,49,"2.9529248172352425, 137.93485924063714"
B1099,warbler,north america,Forest,Stormy,Feeding,-36.83822018898911,21.57048596497029,34.64720213091435,-79.49162098598137,1525.18,64.2,50.97,2861,466,8.2,10.0,Mar,Dec,14,No,245,Yes,Predator,Failed,27,"-36.83822018898911, 21.57048596497029"
B1100,eagle,north america,Grassland,Rainy,Avoid Predators,39.75999983319505,-74.52137515845034,-73.71594339840686,-48.817044439747576,2176.92,56.5,48.12,3831,542,33.8,58.5,Oct,Dec,4,Yes,105,Yes,Storm,Successful,26,"39.75999983319505, -74.52137515845034"
